,number,value,datetime_start,datetime_complete,duration,params_batchsize,params_beta_1,params_beta_2,params_cnn_dropout_factor,params_cnn_kernel_size,params_dense_dropout_factor,params_epsilon,params_learning_rate,params_nb_cnn_input_kernel,params_nb_cnn_layers,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_kernel0,params_num_kernel1,params_num_kernel2,params_num_kernel3,state
140,140,0.3741348385810852,2021-08-15 04:58:16.740804,2021-08-15 05:43:10.216689,0 days 00:44:53.475885,16,0.21176593796032572,0.9715527928388836,0.07635506949533458,3,0.18595206290357874,5.416073714471994e-05,0.00014365415151824088,26.122659977343766,2,1,117.20144278035382,,,,19.477751730037998,34.806824509806056,,,COMPLETE
141,141,0.5270079374313354,2021-08-15 05:43:10.272740,2021-08-15 05:56:08.740070,0 days 00:12:58.467330,512,0.2257961941952361,0.8937753133388991,0.05063198654194208,3,0.21921590468346952,0.00010167025503237672,0.0001630861563926851,34.24995890391608,2,1,119.68501882962771,,,,22.92281103895127,43.3322789362603,,,COMPLETE
142,142,0.07611992955207825,2021-08-15 05:56:08.781107,2021-08-15 05:59:07.745488,0 days 00:02:58.964381,512,0.22457056889468865,1.0503795844530126,0.05268604526204211,3,0.2194478331788099,9.763877663256536e-05,0.00016740301022278065,38.25439713538728,2,1,127.83211199471576,,,,22.604925920335873,42.93273460369618,,,COMPLETE
143,143,0.5293346643447876,2021-08-15 05:59:07.790531,2021-08-15 06:10:00.392056,0 days 00:10:52.601525,512,0.20887766719574574,0.9060247501980964,0.032852631790747926,3,0.19238167657963123,2.3965540125033355e-05,0.00021204887322328884,20.77113494218322,2,1,117.75474110022091,,,,26.046134242975814,40.55555660497357,,,COMPLETE
144,144,0.07611992955207825,2021-08-15 06:10:00.435095,2021-08-15 06:12:57.374610,0 days 00:02:56.939515,512,0.1805415757289106,1.0019796095053435,0.034392029224152285,3,0.19565419793130004,1.79957715417834e-05,0.00020474710442669626,34.75757044442538,2,1,117.90117804595103,,,,25.25684647513088,45.8159515904308,,,COMPLETE
145,145,0.34319499135017395,2021-08-15 06:12:57.424348,2021-08-15 06:30:33.596010,0 days 00:17:36.171662,32,0.2058282984472518,0.9251187168970364,0.06514855344050097,3,0.22299302366323087,2.1836541366966652e-05,0.0002763769392165634,20.24478132641749,2,1,110.09559478160475,,,,20.699767320323357,39.63332271238517,,,COMPLETE
146,146,0.39143815636634827,2021-08-15 06:30:33.637034,2021-08-15 06:41:36.632773,0 days 00:11:02.995739,512,0.1918095775486235,0.8553331410723993,0.09130103831156329,3,0.17374643777958032,3.5187611120612015e-05,0.00010303663952327469,28.24427769835404,2,1,26.03451273051548,,,,16.709684119465745,30.965761518967813,,,COMPLETE
147,147,0.07611992955207825,2021-08-15 06:41:36.677816,2021-08-15 06:44:02.619013,0 days 00:02:25.941197,512,0.21667212344992134,1.5416682958188823,0.04595049583114065,3,0.26510954717474866,8.367244745809856e-05,0.00013844442215872233,23.295958145857675,2,1,101.06973533503952,,,,18.757521463998327,43.08162210740647,,,COMPLETE
148,148,0.07611992955207825,2021-08-15 06:44:02.663355,2021-08-15 06:46:23.387949,0 days 00:02:20.724594,512,0.16746478250198543,1.1734992395806285,0.059023602770456936,3,0.24769738544080241,1.7665645120415094e-05,0.0001596300372757756,14.011044730665533,2,1,120.46404989271966,,,,26.603698545325692,48.030389319531444,,,COMPLETE
149,149,0.07611992955207825,2021-08-15 06:46:23.429399,2021-08-15 06:48:47.633664,0 days 00:02:24.204265,512,0.22878511717328928,1.062584913383251,0.032435186986995754,3,0.18696839194188258,0.0001930280753810009,0.00022832892740801944,21.35670217761145,2,1,104.65102604725934,,,,23.038453550026833,34.33472277418427,,,COMPLETE
