,number,value,datetime_start,datetime_complete,duration,params_batchnorm,params_batchsize,params_beta_1,params_beta_2,params_dense_dropout_factor,params_epsilon,params_input_dropout_factor,params_learning_rate,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_hidden4,params_num_hidden5,params_num_hidden6,params_num_hidden7,params_num_hidden_input,state
107,107,0.5994757413864136,2021-08-05 11:46:44.603063,2021-08-05 11:51:10.819739,0 days 00:04:26.216676,True,512,0.8549430436130655,0.2654672106860778,0.06123442037684278,0.003353753535938104,0.2518928214663285,0.00011671588133130867,3,154.6660992328616,36.58438589541441,128.62480700606096,,,,,,68.80891493459713,COMPLETE
108,108,0.4519335627555847,2021-08-05 11:51:10.870785,2021-08-05 12:27:41.874810,0 days 00:36:31.004025,True,16,0.6944518814933537,0.2236954177421557,0.037616481431310404,0.002755691897380284,0.26504409303878623,0.0001357379719928465,3,442.36725456620036,20.925383809705426,151.02634231834668,,,,,,53.89185281367525,COMPLETE
109,109,0.6149824857711792,2021-08-05 12:27:41.925857,2021-08-05 12:35:36.518698,0 days 00:07:54.592841,True,256,0.3758945890791786,0.16359549945652502,0.052457050213137,0.004122456735881931,0.2362759943763542,0.00015879818820123564,4,270.9181240937657,33.34788522686626,164.81923924370747,9.224015246405797,,,,,99.83984347920814,COMPLETE
110,110,0.6204459071159363,2021-08-05 12:35:36.559736,2021-08-05 12:39:51.233931,0 days 00:04:14.674195,True,512,0.992749157808428,0.2360000670562751,0.013515521290560516,0.004234838151712421,0.25716982221054957,0.00011739771928988231,3,191.87677479516358,48.940027098737595,203.45953365960952,,,,,,110.50123212379633,COMPLETE
111,111,0.0943068340420723,2021-08-05 12:39:51.283978,2021-08-05 12:40:57.478070,0 days 00:01:06.194092,True,512,1.1281127962667057,0.24025286356058445,0.002378505057877239,0.0010630160331046308,0.24421283771765767,0.00012779762997518858,3,180.9331185128793,47.77684546269768,96.18004170850465,,,,,,105.42622311802027,COMPLETE
112,112,0.6196507215499878,2021-08-05 12:40:57.522110,2021-08-05 12:45:38.239948,0 days 00:04:40.717838,True,512,0.9876368010017008,0.21722828982972495,0.01629383391775563,0.004495191306246781,0.28108193920732844,0.00011332899982600958,3,300.4851894821175,37.41072633130509,216.6247782076576,,,,,,108.63347812450213,COMPLETE
113,113,0.6190763711929321,2021-08-05 12:45:38.287992,2021-08-05 12:49:37.880499,0 days 00:03:59.592507,True,512,0.9801041471443037,0.22125933271224157,0.01540715117448438,0.0004461995653764879,0.2746425598994506,0.00010083358140266665,3,303.4884070267874,38.760383309508256,205.73818991622642,,,,,,79.88262928638459,COMPLETE
114,114,0.6125820875167847,2021-08-05 12:49:37.930543,2021-08-05 12:54:23.947194,0 days 00:04:46.016651,True,512,0.987323120100397,0.22447941331560087,0.0393584455376397,0.00422075091198472,0.2838181277301892,0.0001009982364961535,3,247.15683586209457,36.6460040621027,197.98558803399632,,,,,,80.20464748798162,COMPLETE
115,115,0.10458575189113617,2021-08-05 12:54:23.993236,2021-08-05 12:55:28.768038,0 days 00:01:04.774802,True,512,1.1509724593771773,0.26016021698132447,0.0007076066665093958,0.0024506223614363725,0.2571510955811813,0.0001448375806984863,3,288.5473262356405,45.98094977817932,217.54593588227695,,,,,,85.59986326604408,COMPLETE
116,116,0.07611992955207825,2021-08-05 12:55:28.820085,2021-08-05 12:56:47.358384,0 days 00:01:18.538299,True,512,1.3922354692468857,0.18569389430699654,0.01120303740668532,0.012632161694996343,0.28126131731671156,0.00011558608772286797,4,294.7521437823433,29.516987625666992,277.63321736838293,13.131025142280802,,,,,76.58184402040993,COMPLETE
